Vardas         Pavarde             ND1            ND2            ND3            ND4            ND5            ND6            ND7            ND8            ND9            ND10           ND11           ND12           ND13           ND14           ND15           Egz.           
Vardas544      Pavarde544          2              8              9              9              7              2              7              5              4              10             5              6              4              2              9              2              
Vardas545      Pavarde545          1              2              8              3              8              10             4              10             5              8              3              4              3              7              3              5              
Vardas546      Pavarde546          9              10             2              9              4              4              4              3              5              10             10             7              5              4              4              8              
Vardas547      Pavarde547          8              1              6              1              5              4              8              3              4              4              1              10             3              7              5              8              
Vardas548      Pavarde548          8              5              2              4              10             10             7              7              6              8              3              5              9              9              2              5              
Vardas549      Pavarde549          5              8              1              4              1              8              7              3              7              2              6              1              2              6              5              1              
Vardas550      Pavarde550          5              7              1              9              8              8              5              5              1              9              5              2              5              5              5              10             
Vardas551      Pavarde551          4              7              4              5              1              7              1              6              3              3              8              10             10             9              3              8              
Vardas552      Pavarde552          10             4              5              2              4              5              2              5              8              3              9              7              5              1              4              4              
Vardas553      Pavarde553          6              8              10             5              1              6              1              3              8              6              8              5              6              9              2              1              
Vardas554      Pavarde554          10             9              2              3              5              7              1              5              10             2              8              7              6              5              6              6              
Vardas555      Pavarde555          2              2              6              4              8              5              2              5              6              10             9              1              5              2              6              9              
Vardas556      Pavarde556          9              9              10             2              1              7              4              1              7              2              9              10             10             9              6              10             
Vardas557      Pavarde557          2              7              8              9              5              5              2              8              1              5              4              9              8              6              4              10             
Vardas558      Pavarde558          8              3              5              1              8              9              7              2              5              2              8              10             6              1              9              7              
Vardas559      Pavarde559          1              6              6              7              3              2              6              6              9              6              10             6              9              2              1              10             
Vardas560      Pavarde560          7              9              9              9              3              1              6              4              9              10             1              7              9              5              10             4              
Vardas561      Pavarde561          3              5              1              8              3              8              6              5              1              7              5              7              2              8              10             7              
Vardas562      Pavarde562          9              8              1              10             3              1              4              5              6              6              8              10             10             7              3              9              
Vardas563      Pavarde563          5              5              1              1              5              6              7              2              5              7              10             10             7              3              8              4              
Vardas564      Pavarde564          4              2              3              3              6              3              4              10             10             10             2              3              4              9              1              8              
Vardas565      Pavarde565          7              7              8              9              4              3              10             4              4              3              2              6              7              3              1              7              
Vardas566      Pavarde566          5              2              9              4              6              5              6              4              10             10             5              4              10             6              2              9              
Vardas567      Pavarde567          1              4              7              3              2              6              5              4              5              5              9              9              7              10             1              2              
Vardas568      Pavarde568          1              2              6              6              9              9              6              3              10             9              10             10             3              6              10             7              
Vardas569      Pavarde569          10             10             6              5              4              10             9              4              6              10             2              4              3              3              9              7              
Vardas570      Pavarde570          10             3              4              6              3              6              9              8              7              2              1              5              7              1              2              10             
Vardas571      Pavarde571          9              6              2              6              10             1              2              9              8              9              2              1              10             5              4              3              
Vardas572      Pavarde572          2              4              7              10             4              2              7              10             4              4              3              3              6              4              9              9              
Vardas573      Pavarde573          9              7              6              2              1              7              1              10             8              2              2              9              7              8              2              4              
Vardas574      Pavarde574          3              6              9              2              10             7              5              9              3              9              5              9              8              8              3              9              
Vardas575      Pavarde575          8              8              7              10             10             7              5              9              5              7              4              8              6              4              3              5              
Vardas576      Pavarde576          3              2              4              7              5              2              4              9              7              10             5              5              8              1              6              4              
Vardas577      Pavarde577          4              2              7              5              5              4              5              6              1              5              7              5              4              4              6              5              
Vardas578      Pavarde578          5              5              2              7              9              6              3              3              4              1              1              10             2              3              1              8              
Vardas579      Pavarde579          5              6              8              5              4              9              3              7              6              2              6              7              2              4              4              6              
Vardas580      Pavarde580          3              10             4              7              6              5              3              1              8              3              4              1              8              5              6              8              
Vardas581      Pavarde581          8              7              7              10             2              8              7              1              10             7              10             4              3              7              9              1              
Vardas582      Pavarde582          9              2              9              5              5              1              10             4              1              3              10             9              3              1              8              6              
Vardas583      Pavarde583          10             4              10             4              3              2              3              10             7              5              5              7              2              1              1              9              
Vardas584      Pavarde584          6              5              7              2              7              9              3              5              7              9              6              9              6              2              9              9              
Vardas585      Pavarde585          3              1              8              6              7              6              4              2              3              7              9              4              2              2              9              9              
Vardas586      Pavarde586          1              3              7              4              8              7              7              1              7              6              10             5              6              3              4              5              
Vardas587      Pavarde587          7              5              5              3              8              6              10             3              8              3              4              6              9              4              10             9              
Vardas588      Pavarde588          3              8              1              6              6              4              4              9              3              7              2              10             3              8              9              8              
Vardas589      Pavarde589          5              8              1              5              7              1              6              5              8              7              3              8              4              3              2              8              
Vardas590      Pavarde590          5              5              3              9              1              1              2              4              1              6              2              9              8              2              2              3              
Vardas591      Pavarde591          10             3              5              2              1              9              9              10             7              2              7              1              3              6              1              1              
Vardas592      Pavarde592          1              8              1              7              8              9              2              7              1              2              6              8              8              2              10             5              
Vardas593      Pavarde593          5              4              2              1              8              1              7              1              8              9              7              8              6              9              4              3              
Vardas594      Pavarde594          7              3              9              2              1              4              8              2              7              2              5              1              2              7              9              4              
Vardas595      Pavarde595          5              8              9              1              7              5              4              8              4              8              4              7              2              6              8              7              
Vardas596      Pavarde596          8              7              6              5              6              2              6              8              7              1              1              5              7              6              8              1              
Vardas597      Pavarde597          10             7              8              2              4              10             1              7              2              1              2              2              7              5              3              2              
Vardas598      Pavarde598          9              9              9              10             4              1              7              3              3              10             4              7              9              7              6              4              
Vardas599      Pavarde599          3              1              5              9              10             2              6              1              2              5              10             3              6              9              10             2              
Vardas600      Pavarde600          6              9              8              7              5              5              3              1              7              7              2              1              9              2              2              4              
Vardas601      Pavarde601          8              3              5              9              2              7              7              9              4              2              7              9              3              6              7              9              
Vardas602      Pavarde602          6              8              2              8              8              5              10             9              10             6              2              10             1              1              6              1              
Vardas603      Pavarde603          8              5              8              9              10             7              8              9              6              10             8              10             7              4              8              7              
Vardas604      Pavarde604          5              5              9              3              8              2              10             4              9              10             3              5              6              3              2              7              
Vardas605      Pavarde605          8              4              4              3              3              3              9              9              9              2              1              5              9              6              6              3              
Vardas606      Pavarde606          8              8              7              9              9              10             8              10             2              10             7              8              9              1              9              10             
Vardas607      Pavarde607          3              7              6              2              6              7              5              5              9              9              2              5              4              10             3              10             
Vardas608      Pavarde608          7              2              3              8              7              6              10             3              10             8              9              4              7              7              6              3              
Vardas609      Pavarde609          3              5              3              9              9              9              9              1              4              7              6              1              6              7              8              3              
Vardas610      Pavarde610          3              9              3              6              8              7              9              2              7              6              4              4              8              1              3              8              
Vardas611      Pavarde611          7              7              2              6              3              7              5              5              6              6              1              6              6              3              10             3              
Vardas612      Pavarde612          2              5              6              7              5              6              10             5              1              7              2              3              9              4              2              4              
Vardas613      Pavarde613          3              3              4              1              8              4              4              6              8              8              5              2              3              3              5              6              
Vardas614      Pavarde614          6              5              8              4              7              2              8              9              3              10             2              2              3              10             5              10             
Vardas615      Pavarde615          9              9              9              10             5              5              6              4              1              3              10             8              3              5              1              2              
Vardas616      Pavarde616          6              2              8              2              6              9              6              2              8              5              3              1              9              1              2              6              
Vardas617      Pavarde617          2              10             8              4              5              3              4              5              1              1              7              3              6              3              7              9              
Vardas618      Pavarde618          4              9              1              10             4              6              6              9              10             9              7              1              10             10             3              4              
Vardas619      Pavarde619          7              6              8              7              1              8              1              10             6              4              5              7              2              5              9              10             
Vardas620      Pavarde620          2              4              3              6              10             9              5              1              7              9              1              1              9              10             1              1              
Vardas621      Pavarde621          6              5              4              7              6              4              9              10             7              1              2              5              3              1              10             4              
Vardas622      Pavarde622          1              9              3              1              3              7              5              10             9              4              8              10             1              9              10             4              
Vardas623      Pavarde623          5              2              5              5              9              5              10             3              9              3              3              1              5              6              8              10             
Vardas624      Pavarde624          1              5              4              3              2              5              7              7              8              7              9              6              6              10             1              3              
Vardas625      Pavarde625          8              3              10             3              10             9              1              5              2              2              2              2              3              3              10             5              
Vardas626      Pavarde626          8              1              10             10             8              9              8              3              8              9              8              6              1              7              8              8              
Vardas627      Pavarde627          8              4              1              1              1              9              2              10             1              4              2              2              8              5              4              9              
Vardas628      Pavarde628          7              10             2              8              2              5              3              3              5              9              7              6              9              5              3              9              
Vardas629      Pavarde629          10             3              9              2              4              1              10             10             10             4              1              7              2              10             5              4              
Vardas630      Pavarde630          2              1              9              1              5              10             5              6              4              2              6              8              8              3              5              4              
Vardas631      Pavarde631          9              6              9              4              1              3              3              4              3              4              4              2              1              6              1              3              
Vardas632      Pavarde632          10             5              8              3              7              1              3              6              6              8              1              3              6              3              7              10             
Vardas633      Pavarde633          1              6              5              9              5              10             10             2              9              10             3              3              5              8              5              9              
Vardas634      Pavarde634          1              9              7              9              7              4              2              6              10             3              9              7              8              1              1              6              
Vardas635      Pavarde635          8              10             5              8              4              3              3              4              1              9              6              2              8              8              8              2              
Vardas636      Pavarde636          10             5              6              3              6              10             10             8              1              10             10             1              10             9              5              9              
Vardas637      Pavarde637          2              9              6              2              8              10             6              4              7              4              3              3              7              1              7              2              
Vardas638      Pavarde638          6              3              4              9              2              7              6              1              3              2              3              6              4              2              2              2              
Vardas639      Pavarde639          6              10             2              1              9              3              3              6              7              6              2              4              9              1              4              3              
Vardas640      Pavarde640          6              1              4              10             4              4              8              7              9              1              8              5              5              9              3              3              
Vardas641      Pavarde641          4              9              1              7              6              10             6              7              4              3              2              10             1              2              8              10             
Vardas642      Pavarde642          6              3              3              1              9              3              10             3              5              8              7              8              9              3              8              4              
Vardas643      Pavarde643          2              5              2              1              5              4              2              6              5              5              4              3              4              10             9              3              
Vardas644      Pavarde644          6              10             2              8              6              4              8              3              10             6              5              7              5              10             5              3              
Vardas645      Pavarde645          6              9              8              3              4              9              5              10             5              5              9              4              7              1              7              1              
Vardas646      Pavarde646          3              1              1              2              9              7              8              10             4              4              4              4              10             2              10             3              
Vardas647      Pavarde647          5              4              2              3              10             7              5              1              8              3              3              6              7              7              2              6              
Vardas648      Pavarde648          2              9              8              4              8              4              3              9              7              2              3              3              2              9              5              3              
Vardas649      Pavarde649          6              8              9              5              4              3              2              10             4              1              1              1              1              3              8              5              
Vardas650      Pavarde650          10             7              5              8              5              8              6              5              3              4              9              1              9              7              3              2              
Vardas651      Pavarde651          2              7              2              1              1              7              1              8              4              4              7              6              5              4              7              7              
Vardas652      Pavarde652          7              6              1              2              4              8              10             1              2              1              6              7              10             1              7              8              
Vardas653      Pavarde653          7              7              6              2              8              7              5              4              3              2              10             2              9              2              5              10             
Vardas654      Pavarde654          6              3              6              7              5              10             7              2              7              8              6              3              7              3              2              9              
Vardas655      Pavarde655          8              10             6              1              6              7              2              10             10             7              9              2              9              10             8              6              
Vardas656      Pavarde656          9              5              5              4              7              2              7              6              8              7              1              6              10             5              6              7              
Vardas657      Pavarde657          2              1              8              8              9              6              9              2              9              2              5              4              9              9              8              10             
Vardas658      Pavarde658          3              6              8              6              6              2              7              9              2              10             5              3              8              4              4              4              
Vardas659      Pavarde659          3              5              7              5              8              9              3              8              7              9              4              9              5              8              7              1              
Vardas660      Pavarde660          6              8              8              9              8              3              7              2              6              6              9              10             3              9              3              8              
Vardas661      Pavarde661          1              10             10             8              3              4              10             3              10             3              5              3              5              6              7              6              
Vardas662      Pavarde662          2              2              2              1              8              3              5              1              4              3              9              9              4              1              4              6              
Vardas663      Pavarde663          3              3              5              8              8              9              2              7              3              9              8              3              1              3              7              1              
Vardas664      Pavarde664          7              7              8              10             2              7              3              5              5              4              9              2              7              1              4              2              
Vardas665      Pavarde665          1              7              4              2              9              8              3              6              4              10             10             1              4              7              6              4              
Vardas666      Pavarde666          7              8              8              3              10             4              7              2              9              3              9              7              4              3              5              9              
Vardas667      Pavarde667          2              2              2              10             4              7              5              8              7              2              3              7              3              3              4              7              
Vardas668      Pavarde668          7              8              5              4              1              5              8              5              2              10             10             2              2              2              2              10             
Vardas669      Pavarde669          1              5              1              2              8              9              3              1              7              2              6              4              2              2              4              6              
Vardas670      Pavarde670          7              3              5              4              4              1              1              4              3              9              10             5              9              1              7              3              
Vardas671      Pavarde671          9              10             2              5              4              3              3              2              9              9              9              9              6              8              4              10             
Vardas672      Pavarde672          9              6              1              9              1              8              1              7              9              1              4              1              5              10             5              6              
Vardas673      Pavarde673          5              7              9              4              3              3              3              9              5              5              8              10             1              8              4              5              
Vardas674      Pavarde674          7              3              8              9              9              1              8              9              10             2              2              1              8              4              7              9              
Vardas675      Pavarde675          10             10             10             7              10             5              5              2              4              10             8              7              4              6              1              2              
Vardas676      Pavarde676          3              9              5              9              4              10             8              1              6              4              9              9              9              6              2              3              
Vardas677      Pavarde677          6              7              1              3              5              2              4              8              5              8              10             10             2              8              5              4              
Vardas678      Pavarde678          9              6              1              4              2              1              5              7              2              5              7              5              3              3              1              9              
Vardas679      Pavarde679          3              5              3              2              1              4              5              4              6              3              2              3              10             2              1              2              
Vardas680      Pavarde680          9              10             10             8              4              10             7              1              3              1              4              4              2              1              8              1              
Vardas681      Pavarde681          8              2              4              4              7              2              10             1              6              3              10             2              3              6              7              8              
Vardas682      Pavarde682          10             2              7              10             5              7              8              1              8              5              2              3              2              3              4              6              
Vardas683      Pavarde683          6              8              5              6              6              3              8              3              1              8              6              10             5              4              10             9              
Vardas684      Pavarde684          4              4              3              4              4              1              9              9              3              10             2              3              1              5              10             5              
Vardas685      Pavarde685          1              4              4              1              6              4              6              5              2              8              3              2              6              2              5              3              
Vardas686      Pavarde686          10             4              3              5              2              9              7              8              4              10             5              7              9              2              8              2              
Vardas687      Pavarde687          2              6              10             5              2              10             8              1              9              8              7              6              8              3              2              5              
Vardas688      Pavarde688          7              9              6              9              2              9              10             10             7              6              9              6              10             1              2              4              
Vardas689      Pavarde689          2              2              2              3              5              7              9              7              2              1              7              4              6              4              7              7              
Vardas690      Pavarde690          8              10             10             10             6              7              10             5              10             7              9              3              4              10             7              1              
Vardas691      Pavarde691          3              9              6              9              10             1              1              9              4              5              5              6              3              5              8              3              
Vardas692      Pavarde692          3              3              2              3              1              5              5              3              7              3              8              1              3              2              6              2              
Vardas693      Pavarde693          7              7              9              7              1              1              2              8              8              9              7              5              5              9              4              6              
Vardas694      Pavarde694          3              4              3              2              1              2              3              9              9              5              8              4              7              5              2              6              
Vardas695      Pavarde695          6              10             9              1              2              7              3              3              3              6              9              7              10             5              4              7              
Vardas696      Pavarde696          2              8              1              7              7              8              8              7              4              1              1              9              5              10             6              8              
Vardas697      Pavarde697          2              3              2              10             3              2              9              3              7              2              1              9              2              9              3              4              
Vardas698      Pavarde698          10             2              5              4              2              5              10             5              4              1              9              4              8              8              10             9              
Vardas699      Pavarde699          9              1              5              1              8              9              7              2              3              8              3              2              10             5              7              1              
Vardas700      Pavarde700          4              2              6              6              10             6              4              1              4              10             2              3              5              10             3              4              
Vardas701      Pavarde701          5              10             10             3              3              3              5              5              9              1              7              10             10             3              4              2              
Vardas702      Pavarde702          3              6              3              9              10             7              1              10             9              8              9              7              3              3              3              9              
Vardas703      Pavarde703          7              3              10             3              7              4              7              10             8              8              7              4              7              8              6              4              
Vardas704      Pavarde704          5              1              9              10             5              9              1              2              7              3              9              8              10             10             1              7              
Vardas705      Pavarde705          8              10             7              6              10             10             3              8              4              8              8              5              4              4              2              2              
Vardas706      Pavarde706          6              7              1              8              6              5              1              4              5              9              8              5              9              3              4              2              
Vardas707      Pavarde707          7              6              9              1              8              3              1              8              2              4              3              1              5              10             9              2              
